Description,Qty,Unit,Total
23x68 Single Hung Window,2, $1560, $3120
35x68 Single Hung Window,1, $1870, $1870
23x60 Single Hung Window,2, $1460, $2920
35x59 Single Hung Window,1, $1730, $1730
33x60 Single Hung Window,1, $1710, $1710
33x60 Single Hung Window,1, $1710, $1710
47x60 Single Hung Window,1, $2020, $2020
23x60 Single Hung Window,1, $1460, $1460
23x60 Single Hung Window,1, $1140, $1140
Wood: Douglas Fir
Glass: Dual Pane
Installation Included
Disposal and removal of old windows
"Coat of Primer, Interior and Exterior"
,,Subtotal:, $17680
,,Total Tax:, $577.185
,,Total Cost:, $18257.2
