Width,Height,Quantity,Num Lites,Window Type,Wood,Glass,Installation
23,68,2,0,SH,DF,DP_LOW_E,650
35,68,1,0,SH,DF,DP_LOW_E,650
23,60,2,0,SH,DF,DP_LOW_E,650
35,59,1,0,SH,DF,DP_LOW_E,650
33,60,1,0,SH,DF,DP_LOW_E,650
33,60,1,0,SH,DF,DP_LOW_E,650
47,60,1,0,SH,DF,DP_LOW_E,650
23,60,1,0,SH,DF,DP_LOW_E,650
